"ANO_ELEICAO","UF","NUM_TURNO","NUMERO_CANDIDATO","DESCRICAO_CARGO","QTDE_VOTOS"
"2018","MA","2","13","PRESIDENTE","2428913"
"2018","MA","2","17","PRESIDENTE","886565"
"2018","MA","2","95","PRESIDENTE","42274"
"2018","MA","2","96","PRESIDENTE","119765"
"2018","MG","1","12","PRESIDENTE","1278819"
"2018","MG","1","13","PRESIDENTE","3037957"
"2018","MG","1","15","PRESIDENTE","111999"
"2018","MG","1","16","PRESIDENTE","6160"
"2018","MG","1","17","PRESIDENTE","5308047"
"2018","MG","1","18","PRESIDENTE","97410"
"2018","MG","1","19","PRESIDENTE","46716"
"2018","MG","1","27","PRESIDENTE","3643"
"2018","MG","1","30","PRESIDENTE","426334"
"2018","MG","1","45","PRESIDENTE","506590"
"2018","MG","1","50","PRESIDENTE","50587"
"2018","MG","1","51","PRESIDENTE","110054"
"2018","MG","1","54","PRESIDENTE","3398"
"2018","MG","1","95","PRESIDENTE","381959"
"2018","MG","1","96","PRESIDENTE","845008"
"2018","MG","2","13","PRESIDENTE","4382952"
"2018","MG","2","17","PRESIDENTE","6100107"
"2018","MG","2","95","PRESIDENTE","309049"
"2018","MG","2","96","PRESIDENTE","1275394"
"2018","MS","1","12","PRESIDENTE","112296"
"2018","MS","1","13","PRESIDENTE","333407"
"2018","MS","1","15","PRESIDENTE","18154"
"2018","MS","1","16","PRESIDENTE","623"
"2018","MS","1","17","PRESIDENTE","769116"
"2018","MS","1","18","PRESIDENTE","12279"
"2018","MS","1","19","PRESIDENTE","12527"
"2018","MS","1","27","PRESIDENTE","325"
"2018","MS","1","30","PRESIDENTE","26491"
"2018","MS","1","45","PRESIDENTE","90897"
"2018","MS","1","50","PRESIDENTE","6174"
"2018","MS","1","51","PRESIDENTE","14337"
"2018","MS","1","54","PRESIDENTE","319"
"2018","MS","1","95","PRESIDENTE","30951"
"2018","MS","1","96","PRESIDENTE","51412"
"2018","MS","2","13","PRESIDENTE","465025"
"2018","MS","2","17","PRESIDENTE","872049"
"2018","MS","2","95","PRESIDENTE","27014"
"2018","MS","2","96","PRESIDENTE","85889"
"2018","MT","1","12","PRESIDENTE","91344"
"2018","MT","1","13","PRESIDENTE","404604"
"2018","MT","1","15","PRESIDENTE","16735"
"2018","MT","1","16","PRESIDENTE","610"
"2018","MT","1","17","PRESIDENTE","981119"
"2018","MT","1","18","PRESIDENTE","12487"
"2018","MT","1","19","PRESIDENTE","13086"
"2018","MT","1","27","PRESIDENTE","598"
"2018","MT","1","30","PRESIDENTE","25971"
"2018","MT","1","45","PRESIDENTE","67498"
"2018","MT","1","50","PRESIDENTE","6858"
"2018","MT","1","51","PRESIDENTE","12907"
"2018","MT","1","54","PRESIDENTE","319"
"2018","MT","1","95","PRESIDENTE","33540"
"2018","MT","1","96","PRESIDENTE","90262"
"2018","MT","2","13","PRESIDENTE","549001"
"2018","MT","2","17","PRESIDENTE","1085824"
"2018","MT","2","95","PRESIDENTE","23071"
"2018","MT","2","96","PRESIDENTE","60981"
"2018","PA","1","12","PRESIDENTE","415593"
"2018","PA","1","13","PRESIDENTE","1714822"
"2018","PA","1","15","PRESIDENTE","100724"
"2018","PA","1","16","PRESIDENTE","2391"
"2018","PA","1","17","PRESIDENTE","1499294"
"2018","PA","1","18","PRESIDENTE","53682"
"2018","PA","1","19","PRESIDENTE","12407"
"2018","PA","1","27","PRESIDENTE","1413"
"2018","PA","1","30","PRESIDENTE","28314"
"2018","PA","1","45","PRESIDENTE","229122"
"2018","PA","1","50","PRESIDENTE","32417"
"2018","PA","1","51","PRESIDENTE","51547"
"2018","PA","1","54","PRESIDENTE","1009"
"2018","PA","1","95","PRESIDENTE","70590"
"2018","PA","1","96","PRESIDENTE","188473"
"2018","PA","2","13","PRESIDENTE","2112769"
"2018","PA","2","17","PRESIDENTE","1742188"
"2018","PA","2","95","PRESIDENTE","60908"
"2018","PA","2","96","PRESIDENTE","302178"
"2018","PB","1","12","PRESIDENTE","362775"
"2018","PB","1","13","PRESIDENTE","984398"
"2018","PB","1","15","PRESIDENTE","21900"
"2018","PB","1","16","PRESIDENTE","819"
"2018","PB","1","17","PRESIDENTE","677718"
"2018","PB","1","18","PRESIDENTE","12508"
"2018","PB","1","19","PRESIDENTE","6078"
"2018","PB","1","27","PRESIDENTE","526"
"2018","PB","1","30","PRESIDENTE","16859"
"2018","PB","1","45","PRESIDENTE","51334"
"2018","PB","1","50","PRESIDENTE","6901"
"2018","PB","1","51","PRESIDENTE","23280"
"2018","PB","1","54","PRESIDENTE","448"
"2018","PB","1","95","PRESIDENTE","67039"
"2018","PB","1","96","PRESIDENTE","204291"
"2018","PB","2","13","PRESIDENTE","1451293"
"2018","PB","2","17","PRESIDENTE","782143"
"2018","PB","2","95","PRESIDENTE","36933"
"2018","PB","2","96","PRESIDENTE","136900"
"2018","PE","1","12","PRESIDENTE","640860"
"2018","PE","1","13","PRESIDENTE","2309104"
"2018","PE","1","15","PRESIDENTE","32088"
"2018","PE","1","16","PRESIDENTE","2021"
"2018","PE","1","17","PRESIDENTE","1444685"
"2018","PE","1","18","PRESIDENTE","46524"
"2018","PE","1","19","PRESIDENTE","9853"
"2018","PE","1","27","PRESIDENTE","1046"
"2018","PE","1","30","PRESIDENTE","46153"
"2018","PE","1","45","PRESIDENTE","77987"
"2018","PE","1","50","PRESIDENTE","20688"
"2018","PE","1","51","PRESIDENTE","93330"
"2018","PE","1","54","PRESIDENTE","877"
"2018","PE","1","95","PRESIDENTE","153557"
"2018","PE","1","96","PRESIDENTE","514413"
"2018","PE","2","13","PRESIDENTE","3297944"
"2018","PE","2","17","PRESIDENTE","1661163"
"2018","PE","2","95","PRESIDENTE","76515"
"2018","PE","2","96","PRESIDENTE","341822"
"2018","PI","1","12","PRESIDENTE","211240"
"2018","PI","1","13","PRESIDENTE","1172147"
"2018","PI","1","15","PRESIDENTE","16761"
"2018","PI","1","16","PRESIDENTE","850"
"2018","PI","1","17","PRESIDENTE","346944"
"2018","PI","1","18","PRESIDENTE","13313"
"2018","PI","1","19","PRESIDENTE","5218"
"2018","PI","1","27","PRESIDENTE","551"
"2018","PI","1","30","PRESIDENTE","15308"
"2018","PI","1","45","PRESIDENTE","47974"
"2018","PI","1","50","PRESIDENTE","6145"
"2018","PI","1","51","PRESIDENTE","12212"
"2018","PI","1","54","PRESIDENTE","280"
"2018","PI","1","95","PRESIDENTE","32809"
"2018","PI","1","96","PRESIDENTE","116180"
"2018","PI","2","13","PRESIDENTE","1417113"
"2018","PI","2","17","PRESIDENTE","422095"
"2018","PI","2","95","PRESIDENTE","20914"
"2018","PI","2","96","PRESIDENTE","86849"
"2018","PR","1","12","PRESIDENTE","510541"
"2018","PR","1","13","PRESIDENTE","1210974"
"2018","PR","1","15","PRESIDENTE","73795"
"2018","PR","1","16","PRESIDENTE","2246"
"2018","PR","1","17","PRESIDENTE","3496448"
"2018","PR","1","18","PRESIDENTE","47335"
"2018","PR","1","19","PRESIDENTE","322416"
"2018","PR","1","27","PRESIDENTE","1582"
"2018","PR","1","30","PRESIDENTE","190686"
"2018","PR","1","45","PRESIDENTE","220744"
"2018","PR","1","50","PRESIDENTE","27091"
"2018","PR","1","51","PRESIDENTE","39955"
"2018","PR","1","54","PRESIDENTE","1876"
"2018","PR","1","95","PRESIDENTE","165991"
