"","ANO_ELEICAO","UF","NUM_TURNO","NUMERO_CANDIDATO","DESCRICAO_CARGO","QTDE_VOTOS"
"225",2018,"PB",1,95,"PRESIDENTE",67039
"226",2018,"PB",1,96,"PRESIDENTE",204291
"227",2018,"PE",1,12,"PRESIDENTE",640860
"228",2018,"PE",1,13,"PRESIDENTE",2309104
"229",2018,"PE",1,15,"PRESIDENTE",32088
"230",2018,"PE",1,16,"PRESIDENTE",2021
"231",2018,"PE",1,17,"PRESIDENTE",1444685
"232",2018,"PE",1,18,"PRESIDENTE",46524
"233",2018,"PE",1,19,"PRESIDENTE",9853
"234",2018,"PE",1,27,"PRESIDENTE",1046
"235",2018,"PE",1,30,"PRESIDENTE",46153
"236",2018,"PE",1,45,"PRESIDENTE",77987
"237",2018,"PE",1,50,"PRESIDENTE",20688
"238",2018,"PE",1,51,"PRESIDENTE",93330
"239",2018,"PE",1,54,"PRESIDENTE",877
"240",2018,"PE",1,95,"PRESIDENTE",153557
"241",2018,"PE",1,96,"PRESIDENTE",514413
"242",2018,"PI",1,12,"PRESIDENTE",211240
"243",2018,"PI",1,13,"PRESIDENTE",1172147
"244",2018,"PI",1,15,"PRESIDENTE",16761
"245",2018,"PI",1,16,"PRESIDENTE",850
"246",2018,"PI",1,17,"PRESIDENTE",346944
"247",2018,"PI",1,18,"PRESIDENTE",13313
"248",2018,"PI",1,19,"PRESIDENTE",5218
"249",2018,"PI",1,27,"PRESIDENTE",551
"250",2018,"PI",1,30,"PRESIDENTE",15308
"251",2018,"PI",1,45,"PRESIDENTE",47974
"252",2018,"PI",1,50,"PRESIDENTE",6145
"253",2018,"PI",1,51,"PRESIDENTE",12212
"254",2018,"PI",1,54,"PRESIDENTE",280
"255",2018,"PI",1,95,"PRESIDENTE",32809
"256",2018,"PI",1,96,"PRESIDENTE",116180
"257",2018,"PR",1,12,"PRESIDENTE",510541
"258",2018,"PR",1,13,"PRESIDENTE",1210974
"259",2018,"PR",1,15,"PRESIDENTE",73795
"260",2018,"PR",1,16,"PRESIDENTE",2246
"261",2018,"PR",1,17,"PRESIDENTE",3496448
"262",2018,"PR",1,18,"PRESIDENTE",47335
"263",2018,"PR",1,19,"PRESIDENTE",322416
"264",2018,"PR",1,27,"PRESIDENTE",1582
"265",2018,"PR",1,30,"PRESIDENTE",190686
"266",2018,"PR",1,45,"PRESIDENTE",220744
"267",2018,"PR",1,50,"PRESIDENTE",27091
"268",2018,"PR",1,51,"PRESIDENTE",39955
"269",2018,"PR",1,54,"PRESIDENTE",1876
"270",2018,"PR",1,95,"PRESIDENTE",165991
"271",2018,"PR",1,96,"PRESIDENTE",308785
"272",2018,"RJ",1,12,"PRESIDENTE",1300292
"273",2018,"RJ",1,13,"PRESIDENTE",1255425
"274",2018,"RJ",1,15,"PRESIDENTE",77333
"275",2018,"RJ",1,16,"PRESIDENTE",6005
"276",2018,"RJ",1,17,"PRESIDENTE",5107735
"277",2018,"RJ",1,18,"PRESIDENTE",130794
"278",2018,"RJ",1,19,"PRESIDENTE",41544
"279",2018,"RJ",1,27,"PRESIDENTE",4636
"280",2018,"RJ",1,30,"PRESIDENTE",139208
"281",2018,"RJ",1,45,"PRESIDENTE",208325
"282",2018,"RJ",1,50,"PRESIDENTE",57846
"283",2018,"RJ",1,51,"PRESIDENTE",211444
"284",2018,"RJ",1,54,"PRESIDENTE",2806
"285",2018,"RJ",1,95,"PRESIDENTE",282605
"286",2018,"RJ",1,96,"PRESIDENTE",653582
"287",2018,"RN",1,12,"PRESIDENTE",399766
"288",2018,"RN",1,13,"PRESIDENTE",738165
"289",2018,"RN",1,15,"PRESIDENTE",11480
"290",2018,"RN",1,16,"PRESIDENTE",1034
"291",2018,"RN",1,17,"PRESIDENTE",541448
"292",2018,"RN",1,18,"PRESIDENTE",10690
"293",2018,"RN",1,19,"PRESIDENTE",5148
"294",2018,"RN",1,27,"PRESIDENTE",486
"295",2018,"RN",1,30,"PRESIDENTE",15570
"296",2018,"RN",1,45,"PRESIDENTE",40405
"297",2018,"RN",1,50,"PRESIDENTE",6975
"298",2018,"RN",1,51,"PRESIDENTE",20575
"299",2018,"RN",1,54,"PRESIDENTE",511
"300",2018,"RN",1,95,"PRESIDENTE",44605
"301",2018,"RN",1,96,"PRESIDENTE",130877
"302",2018,"RO",1,12,"PRESIDENTE",52118
"303",2018,"RO",1,13,"PRESIDENTE",176107
"304",2018,"RO",1,15,"PRESIDENTE",12829
"305",2018,"RO",1,16,"PRESIDENTE",464
"306",2018,"RO",1,17,"PRESIDENTE",538311
"307",2018,"RO",1,18,"PRESIDENTE",7351
"308",2018,"RO",1,19,"PRESIDENTE",8738
"309",2018,"RO",1,27,"PRESIDENTE",272
"310",2018,"RO",1,30,"PRESIDENTE",16329
"311",2018,"RO",1,45,"PRESIDENTE",37048
"312",2018,"RO",1,50,"PRESIDENTE",5368
"313",2018,"RO",1,51,"PRESIDENTE",9816
"314",2018,"RO",1,54,"PRESIDENTE",150
"315",2018,"RO",1,95,"PRESIDENTE",15329
"316",2018,"RO",1,96,"PRESIDENTE",33110
"317",2018,"RR",1,12,"PRESIDENTE",14838
"318",2018,"RR",1,13,"PRESIDENTE",49406
"319",2018,"RR",1,15,"PRESIDENTE",3426
"320",2018,"RR",1,16,"PRESIDENTE",146
"321",2018,"RR",1,17,"PRESIDENTE",174306
"322",2018,"RR",1,18,"PRESIDENTE",4098
"323",2018,"RR",1,19,"PRESIDENTE",1472
"324",2018,"RR",1,27,"PRESIDENTE",116
"325",2018,"RR",1,30,"PRESIDENTE",4309
"326",2018,"RR",1,45,"PRESIDENTE",19231
"327",2018,"RR",1,50,"PRESIDENTE",2443
"328",2018,"RR",1,51,"PRESIDENTE",2928
"329",2018,"RR",1,54,"PRESIDENTE",69
"330",2018,"RR",1,95,"PRESIDENTE",2833
"331",2018,"RR",1,96,"PRESIDENTE",7529
"332",2018,"RS",1,12,"PRESIDENTE",724429
"333",2018,"RS",1,13,"PRESIDENTE",1453291
"334",2018,"RS",1,15,"PRESIDENTE",124713
"335",2018,"RS",1,16,"PRESIDENTE",3086
"336",2018,"RS",1,17,"PRESIDENTE",3353623
"337",2018,"RS",1,18,"PRESIDENTE",50007
"338",2018,"RS",1,19,"PRESIDENTE",44890
"339",2018,"RS",1,27,"PRESIDENTE",1525
"340",2018,"RS",1,30,"PRESIDENTE",186087
"341",2018,"RS",1,45,"PRESIDENTE",350800
"342",2018,"RS",1,50,"PRESIDENTE",41736
"343",2018,"RS",1,51,"PRESIDENTE",35458
"344",2018,"RS",1,54,"PRESIDENTE",2791
"345",2018,"RS",1,95,"PRESIDENTE",235396
"346",2018,"RS",1,96,"PRESIDENTE",230716
"347",2018,"SC",1,12,"PRESIDENTE",264312
"348",2018,"SC",1,13,"PRESIDENTE",598578
"349",2018,"SC",1,15,"PRESIDENTE",51670
"350",2018,"SC",1,16,"PRESIDENTE",1686
"351",2018,"SC",1,17,"PRESIDENTE",2603665
"352",2018,"SC",1,18,"PRESIDENTE",25813
"353",2018,"SC",1,19,"PRESIDENTE",51771
"354",2018,"SC",1,27,"PRESIDENTE",859
"355",2018,"SC",1,30,"PRESIDENTE",158562
"356",2018,"SC",1,45,"PRESIDENTE",154068
"357",2018,"SC",1,50,"PRESIDENTE",21484
"358",2018,"SC",1,51,"PRESIDENTE",22392
"359",2018,"SC",1,54,"PRESIDENTE",923
"360",2018,"SC",1,95,"PRESIDENTE",103220
"361",2018,"SC",1,96,"PRESIDENTE",187275
"362",2018,"SE",1,12,"PRESIDENTE",148526
"363",2018,"SE",1,13,"PRESIDENTE",571234
"364",2018,"SE",1,15,"PRESIDENTE",8784
"365",2018,"SE",1,16,"PRESIDENTE",3093
"366",2018,"SE",1,17,"PRESIDENTE",310310
"367",2018,"SE",1,18,"PRESIDENTE",15829
"368",2018,"SE",1,19,"PRESIDENTE",4483
"369",2018,"SE",1,27,"PRESIDENTE",231
"370",2018,"SE",1,30,"PRESIDENTE",9192
"371",2018,"SE",1,45,"PRESIDENTE",45978
"372",2018,"SE",1,50,"PRESIDENTE",7934
"373",2018,"SE",1,51,"PRESIDENTE",14069
"374",2018,"SE",1,54,"PRESIDENTE",717
"375",2018,"SE",1,95,"PRESIDENTE",32124
"376",2018,"SE",1,96,"PRESIDENTE",107796
"377",2018,"SP",1,12,"PRESIDENTE",2650440
"378",2018,"SP",1,13,"PRESIDENTE",3833982
"379",2018,"SP",1,15,"PRESIDENTE",267725
"380",2018,"SP",1,16,"PRESIDENTE",12434
"381",2018,"SP",1,17,"PRESIDENTE",12378012
"382",2018,"SP",1,18,"PRESIDENTE",262050
"383",2018,"SP",1,19,"PRESIDENTE",177949
"384",2018,"SP",1,27,"PRESIDENTE",14462
"385",2018,"SP",1,30,"PRESIDENTE",1062118
"386",2018,"SP",1,45,"PRESIDENTE",2224049
"387",2018,"SP",1,50,"PRESIDENTE",187451
"388",2018,"SP",1,51,"PRESIDENTE",274672
"389",2018,"SP",1,54,"PRESIDENTE",7435
"390",2018,"SP",1,95,"PRESIDENTE",837211
"391",2018,"SP",1,96,"PRESIDENTE",1740759
"392",2018,"TO",1,12,"PRESIDENTE",54262
"393",2018,"TO",1,13,"PRESIDENTE",311212
"394",2018,"TO",1,15,"PRESIDENTE",5324
"395",2018,"TO",1,16,"PRESIDENTE",251
"396",2018,"TO",1,17,"PRESIDENTE",337782
"397",2018,"TO",1,18,"PRESIDENTE",7229
"398",2018,"TO",1,19,"PRESIDENTE",2471
"399",2018,"TO",1,27,"PRESIDENTE",242
"400",2018,"TO",1,30,"PRESIDENTE",7113
"401",2018,"TO",1,45,"PRESIDENTE",21666
"402",2018,"TO",1,50,"PRESIDENTE",2764
"403",2018,"TO",1,51,"PRESIDENTE",6284
"404",2018,"TO",1,54,"PRESIDENTE",160
"405",2018,"TO",1,95,"PRESIDENTE",8915
"406",2018,"TO",1,96,"PRESIDENTE",65924
"407",2018,"ZZ",1,12,"PRESIDENTE",27991
"408",2018,"ZZ",1,13,"PRESIDENTE",19485
"409",2018,"ZZ",1,15,"PRESIDENTE",947
"410",2018,"ZZ",1,16,"PRESIDENTE",349
"411",2018,"ZZ",1,17,"PRESIDENTE",113382
"412",2018,"ZZ",1,18,"PRESIDENTE",4953
"413",2018,"ZZ",1,19,"PRESIDENTE",2728
"414",2018,"ZZ",1,27,"PRESIDENTE",178
"415",2018,"ZZ",1,30,"PRESIDENTE",13604
"416",2018,"ZZ",1,45,"PRESIDENTE",6648
"417",2018,"ZZ",1,50,"PRESIDENTE",1271
"418",2018,"ZZ",1,51,"PRESIDENTE",1171
"419",2018,"ZZ",1,54,"PRESIDENTE",152
"420",2018,"ZZ",1,95,"PRESIDENTE",5042
"421",2018,"ZZ",1,96,"PRESIDENTE",4334
