dbn,school_name,num_of_sat_test_takers,critical_reading_mean,math_mean,writing_mean,building_code,location_name,location_code,address,geographical_district_code,postcode,latitude,longitude,geo_cat_code
11X418,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,48,419,433,416,X839,Bronx High School for the Visual Arts,X418,2040 ANTIN PL,11,10462,40.851405,-73.865036,9-12
11X455,HARRY S TRUMAN HIGH SCHOOL,189,386,397,368,X455,Harry S Truman High School,X455,750 BAYCHESTER AVENUE,11,10475,40.874091,-73.833904,9-12
11X513,NEW WORLD HIGH SCHOOL,72,332,381,335,X362,New World High School,X513,921 EAST 228TH STREET,11,10466,40.887831,-73.852694,9-12
11X514,THE BRONXWOOD PREPARATORY ACADEMY,48,377,372,363,X362,The Bronxwood Preparatory Academy,X514,921 EAST 228TH STREET,11,10466,40.887831,-73.852694,9-12
11X541,GLOBAL ENTERPRISE HIGH SCHOOL,57,372,382,375,X415,Global Enterprise High School,X541,925 ASTOR AVENUE,11,10469,40.859665,-73.861006,9-12
11X542,PELHAM PREPARATORY ACADEMY,76,431,438,419,X415,Pelham Preparatory Academy,X542,925 ASTOR AVENUE,11,10469,40.859665,-73.861006,9-12
11X544,HIGH SCHOOL FOR CONTEMPORARY ARTS,55,383,378,365,X425,High School for Contemporary Arts,X544,800 EAST GUN HILL ROAD,11,10467,40.875953,-73.86197,9-12
11X545,BRONX AEROSPACE HIGH SCHOOL,46,388,393,382,X425,Bronx Aerospace High School,X545,800 EAST GUN HILL ROAD,11,10467,40.875953,-73.86197,9-12
12X248,"METROPOLITAN HIGH SCHOOL, THE",49,347,367,341,X099,"Metropolitan High School, The",X248,1180 REV. J.A. POLITE AVE.,12,10459,40.827315,-73.897612,9-12
12X251,EXPLORATIONS ACADEMY,57,381,381,360,X098,Explorations Academy,X251,1619 BOSTON ROAD,12,10460,40.8359,-73.890458,9-12
12X262,PERFORMANCE CONSERVATORY HIGH SCHOOL,30,361,353,360,X098,Performance Conservatory High School,X262,1619 BOSTON ROAD,12,10460,40.8359,-73.890458,9-12
12X267,BRONX LATIN,36,408,432,411,X158,Bronx Latin,X267,800 HOME STREET,12,10456,40.827743,-73.900105,9-12
12X271,EAST BRONX ACADEMY FOR THE FUTURE,46,366,378,358,X973,East Bronx Academy for the Future,X271,1716 SOUTHERN BOULEVARD,12,10460,40.836356,-73.888361,9-12
12X278,PEACE AND DIVERSITY ACADEMY,34,390,401,364,X099,Peace and Diversity Academy,X278,1180 REV. J.A. POLITE AVE.,12,10459,40.827315,-73.897612,9-12
12X388,PAN AMERICAN INTERNATIONAL HIGH SCHOOL AT MONROE,30,321,351,298,X420,Pan American International High School at Monroe,X388,1300 BOYNTON AVENUE,12,10472,40.831601,-73.878912,9-12
12X446,ARTURO A. SCHOMBURG SATELLITE ACADEMY BRONX,14,380,372,349,X401,Arturo A. Schomburg Satellite Academy Bronx,X446,1010 REV. J. A. POLITE AVENUE,12,10459,40.823532,-73.898872,9-12
12X480,BRONX REGIONAL HIGH SCHOOL,16,398,385,398,X401,Bronx Regional High School,X480,1010 REV. J. A. POLITE AVENUE,12,10459,40.823532,-73.898872,9-12
12X550,HIGH SCHOOL OF WORLD CULTURES,42,304,323,312,X420,High School of World Cultures,X550,1300 BOYNTON AVENUE,12,10472,40.831601,-73.878912,9-12
12X682,FANNIE LOU HAMER FREEDOM HIGH SCHOOL,72,342,346,341,X878,Fannie Lou Hamer Freedom High School,X682,1021 JENNINGS STREET,12,10460,40.83087,-73.88626,9-12
12X684,WINGS ACADEMY,66,378,374,362,X879,Wings Academy,X684,1122 EAST 180 STREET,12,10460,40.841794,-73.875366,9-12
12X690,MONROE ACADEMY FOR BUSINESS/LAW,31,375,387,376,X420,Monroe Academy for Business/Law,X690,1300 BOYNTON AVENUE,12,10472,40.831601,-73.878912,9-12
12X692,MONROE ACADEMY FOR VISUAL ARTS & DESIGN,43,332,357,349,X420,Monroe Academy for Visual Arts & Design,X692,1300 BOYNTON AVENUE,12,10472,40.831601,-73.878912,9-12
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,29,352,349,373,K265,Dr. Susan S. McKinney Secondary School of the Arts,K265,101 PARK AVENUE,13,11205,40.696324,-73.97578,13-16
13K350,URBAN ASSEMBLY HIGH SCHOOL OF MUSIC AND ART,52,360,364,356,K805,Urban Assembly High School of Music and Art,K350,49 FLATBUSH AVENUE EXTENSION,13,11201,40.697339,-73.985016,13-16
13K412,"BROOKLYN COMMUNITY HIGH SCHOOL OF COMMUNICATION, ARTS AND MEDIA",37,375,355,384,K117,"Brooklyn Community High School of Communication, A",K412,300 WILLOUGHBY AVENUE,13,11205,40.692642,-73.958794,13-16
13K419,"SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE, TECHNOLOGY AND THE CREATIVE ARTS",92,399,417,395,K805,"Science Skills Center High School for Science, Tec",K419,49 FLATBUSH AVENUE EXTENSION,13,11201,40.697339,-73.985016,13-16
13K430,BROOKLYN TECHNICAL HIGH SCHOOL,1277,587,659,587,K430,Brooklyn Technical High School,K430,29 FT GREENE PLACE,13,11217,40.688834,-73.976905,13-16
13K439,BROOKLYN INTERNATIONAL HIGH SCHOOL,90,305,364,312,K805,Brooklyn International High School,K439,49 FLATBUSH AVENUE EXTENSION,13,11201,40.697339,-73.985016,13-16
13K483,THE URBAN ASSEMBLY SCHOOL FOR LAW AND JUSTICE,105,400,417,389,K313,The Urban Assembly School for Law and Justice,K483,283 ADAMS STREET,13,11201,40.694682,-73.988853,13-16
